experiment,model,size,k_folds,model_type,alpha,linear_r2_mean,linear_r2_std,linear_adj_r2_mean,linear_adj_r2_std,pca_r2_mean,pca_r2_std,pca_adj_r2_mean,pca_adj_r2_std,pca_explained_var_mean,pca_explained_var_std,linear_proportion_significant_mean,linear_proportion_significant_std,pca_proportion_significant_mean,pca_proportion_significant_std,linear_f_pvalue_mean,linear_f_pvalue_std,pca_f_pvalue_mean,pca_f_pvalue_std,linear_aic_mean,linear_bic_mean,pca_aic_mean,pca_bic_mean
positive_decimals_statsmodels,text-embedding-3-large,11,5,Statsmodels_OLS,0.05,0.9701256855768035,0.0017751562332515975,0.9701256855768035,0.0017751562332515975,0.7214689461877131,0.01881322068145323,0.7186267925773836,0.019005192321059895,0.03469989601921694,0.0009137563292904953,0.0,0.0,1.0,0.0,,,3.7275125325700586e-101,7.454989974585172e-101,-24435.534570664044,-22838.948751820848,-365.6988752036001,-357.7159461093841
positive_decimals_statsmodels,text-embedding-3-large,12,5,Statsmodels_OLS,0.05,0.9664425206901928,0.004906865116143859,0.9664425206901928,0.004906865116143859,0.4632173595230392,0.044173609883679806,0.45773998564062124,0.04462436100494185,0.03033445422439871,0.00021485233025317636,0.0,0.0,1.0,0.0,,,4.4794568962632015e-51,8.955573875417912e-51,-24449.52118942445,-22852.935370581254,-113.5910059463032,-105.60807685208724
positive_decimals_statsmodels,text-embedding-3-large,13,5,Statsmodels_OLS,0.05,0.9653456960239918,0.007774049039190789,0.9653456960239918,0.007774049039190789,0.7874740914018874,0.019228104494839426,0.7853054596814986,0.019424309642745954,0.037504078014689315,0.00030081150487764946,0.0,0.0,1.0,0.0,,,4.7992445140783295e-127,9.468268083047976e-127,-24395.235367635676,-22798.649548792484,-485.0172522793984,-477.0343231851824
positive_decimals_statsmodels,text-embedding-3-large,14,5,Statsmodels_OLS,0.05,0.963733123651329,0.002587796038658664,0.963733123651329,0.002587796038658664,0.7437222587468622,0.03755832213813371,0.7411071797544831,0.03794157032321668,0.032689459558154374,0.0007200373929167409,0.0,0.0,1.0,0.0,,,3.04673716716721e-109,6.09347433433389e-109,-24426.60607533859,-22830.0202564954,-420.29893043175286,-412.316001337537
positive_decimals_statsmodels,text-embedding-3-large,15,5,Statsmodels_OLS,0.05,0.9682386869266667,0.004937145905514328,0.9682386869266667,0.004937145905514328,0.7586404837669694,0.03430688780433575,0.7561776315605099,0.034656958088053434,0.03178961359457273,0.0006032242034451758,0.0,0.0,1.0,0.0,,,1.1730738761293158e-112,2.3461477445713312e-112,-24359.86593387994,-22763.280115036745,-449.6083743727736,-441.6254452785576
positive_decimals_statsmodels,text-embedding-3-large,16,5,Statsmodels_OLS,0.05,0.9663557992329768,0.006640995302361572,0.9663557992329768,0.006640995302361572,0.7673977561849158,0.033915293204477615,0.7650242639010885,0.03426136762493146,0.03611480291035242,0.0007577886271708498,0.0,0.0,1.0,0.0,,,1.4168413869523143e-127,2.386388606111958e-127,-24435.98812419643,-22839.402305353236,-435.58064260243344,-427.5977135082174
positive_decimals_statsmodels,text-embedding-3-large,17,5,Statsmodels_OLS,0.05,0.9638226103557432,0.005227652429141647,0.9638226103557432,0.005227652429141647,0.7291226708837228,0.04179056887299467,0.7263586165049853,0.04221700324924972,0.03328200769132578,0.00118026253760655,0.0,0.0,1.0,0.0,,,7.047439879664281e-113,1.4092615251279976e-112,-24385.392864790218,-22788.807045947025,-377.20308447203377,-369.22015537781783
positive_decimals_statsmodels,text-embedding-3-large,18,5,Statsmodels_OLS,0.05,0.9590487268807439,0.005595412596858311,0.9590487268807439,0.005595412596858311,0.6850494757202148,0.05569684373847982,0.6818356948602169,0.05626517887866838,0.030318474647715487,0.0008309083393732143,0.0,0.0,1.0,0.0,,,1.0347221120862641e-93,1.7027698225588352e-93,-24482.599610070174,-22886.01379122698,-341.3626582294026,-333.37972913518666
positive_decimals_statsmodels,text-embedding-3-large,19,5,Statsmodels_OLS,0.05,0.9696897538756735,0.003217023221477947,0.9696897538756735,0.003217023221477947,0.7680071535928128,0.03566027618080857,0.7656398796498822,0.036024156550000505,0.03287025146574354,0.0010117629381610452,0.0,0.0,1.0,0.0,,,1.4033394790245815e-128,2.805742317657938e-128,-24424.615127956156,-22828.029309112968,-432.2163457336068,-424.23341663939084
positive_decimals_statsmodels,text-embedding-3-small,1,5,Statsmodels_OLS,0.05,0.9999805303333087,4.413785541332464e-06,0.9999805303333087,4.413785541332464e-06,0.7037559563916941,0.04083584686042946,0.7007330579875276,0.041252539175331775,0.19143946606365536,0.0028089811476206573,0.0006510416666666666,0.0,1.0,0.0,0.0,0.0,1.0765699435705663e-98,2.1531391336008866e-98,-4192.810145145559,-4152.89549967448,-344.43322301452736,-336.45029392031137
positive_decimals_statsmodels,text-embedding-3-small,2,5,Statsmodels_OLS,0.05,0.9998707556584868,0.00017941830933737682,0.9998707556584868,0.00017941830933737682,0.8702954618281616,0.02616825406005887,0.8689719461325307,0.026435277060671714,0.0973065090171363,0.0017289409562935894,1.0,0.0,1.0,0.0,0.0,0.0,4.035492542708362e-159,8.070984548976209e-159,-24540.349373111145,-24077.339485646622,-651.470305477989,-643.4873763837729
positive_decimals_statsmodels,text-embedding-3-small,3,5,Statsmodels_OLS,0.05,0.9855626574947566,0.0019012789886403306,0.9855626574947566,0.0019012789886403306,0.8550226081548834,0.028692353134673935,0.8535432470136067,0.02898513224829307,0.06894363791941369,0.0008759387301595087,1.0,0.0,1.0,0.0,0.0,0.0,5.179309120448905e-164,0.0,-23941.172535780905,-22527.395793195257,-642.163821368807,-634.1808922745911
positive_decimals_statsmodels,text-embedding-3-small,4,5,Statsmodels_OLS,0.05,0.9773999877077022,0.002833656021693401,0.9773999877077022,0.002833656021693401,0.8040331610386137,0.0470416136159567,0.8020334994165588,0.047521630081425625,0.05381801535660091,0.0013837707384087446,0.8,0.4,1.0,0.0,8.856065247700324e-14,1.5339154964130868e-13,2.9021025345116583e-143,5.513000225828954e-143,-24078.91959630688,-22487.92182782964,-556.2700663038247,-548.2871372096085
