experiment,model,size,linear_r2,pca_r2,pca_var_comp_1,pca_var_comp_2,pca_var_comp_3,pca_var_comp_4,pca_var_comp_5,pca_cumulative_var_5
positive_decimals,text-embedding-3-small,1,0.9999999675935325,-3394.072388496204,0.18894760109634848,0.15607561472209483,0.13223090867184278,0.12922426136465634,0.09657302064993804,0.7030514065048804
positive_decimals,text-embedding-3-small,2,0.999994039958135,-1589.4601624818788,0.09516074735062688,0.06223575310410848,0.049766970520554295,0.045219640744498926,0.03990730759187431,0.2922904193116629
positive_decimals,text-embedding-3-small,3,0.984368541943563,-1237.3267677718225,0.06888871432790157,0.042299311129872855,0.035640857383814145,0.0337536582762636,0.0313598732465461,0.21194241436439826
positive_decimals,text-embedding-3-small,4,0.9750966637549704,-884.6074109561988,0.05281276035699397,0.04076636732125726,0.039553345964937335,0.03493629303430343,0.032941118416886905,0.2010098850943789
positive_decimals,text-embedding-3-small,5,0.9722651014234005,-776.1014599588291,0.050934141826855225,0.03749364354507891,0.03343272115040682,0.031054887509595057,0.02937191651537005,0.18228731054730607
positive_decimals,text-embedding-3-small,6,0.9777727421889943,-828.6023104999082,0.04909168739534894,0.03821589988905663,0.03710086288115955,0.030388189924803202,0.0291933116519744,0.1839899517423427
positive_decimals,text-embedding-3-small,7,0.9742502943612084,-663.7522427348841,0.046285340149610124,0.037611808271536394,0.03559423781322341,0.03275486809955035,0.029186521286624585,0.18143277562054483
positive_decimals,text-embedding-3-small,8,0.977365009190841,-788.7196319853781,0.04201118204327531,0.03721073662655998,0.033649268629498824,0.03141326759600228,0.029702083622236673,0.17398653851757306
positive_decimals,text-embedding-3-small,9,0.9675104375353166,-768.1784172091662,0.044820814130432006,0.03523730893038141,0.03393270924988535,0.029897588476572326,0.027992043506544852,0.17188046429381595
positive_decimals,text-embedding-3-small,10,0.9767495483669766,-648.442517441953,0.044061067074591946,0.036605239814364005,0.034713494323544494,0.031421161126217644,0.026960265395277527,0.1737612277339956
positive_decimals,text-embedding-3-small,11,0.9666956733407921,-612.1757006832357,0.04178416629671889,0.03656121625865812,0.034413758146746624,0.030487840214728654,0.0289043140084159,0.17215129492526818
positive_decimals,text-embedding-3-small,12,0.9703667646150642,-655.4526780415852,0.039252382717144256,0.03693158256413321,0.034501801103214415,0.030436443272622342,0.027270501457621547,0.16839271111473578
positive_decimals,text-embedding-3-small,13,0.9754498043790154,-615.6103358695506,0.044224460549078276,0.036838694915453774,0.03447556055284093,0.030763577554445316,0.028610207319237312,0.1749125008910556
positive_decimals,text-embedding-3-small,14,0.954211106784219,-638.1926014141347,0.04182884975228552,0.03701923759340069,0.03253380515401166,0.02873340772492112,0.0275396627053013,0.1676549629299203
positive_decimals,text-embedding-3-small,15,0.9696218488058903,-623.5554873176226,0.04368770491357455,0.03689189946666358,0.03240593421481648,0.030890648397284445,0.0268748078252803,0.17075099481761935
positive_decimals,text-embedding-3-small,16,0.9510033431423057,-728.4992745646284,0.04660823291208708,0.039059519999998356,0.030836265323526638,0.028746085715749582,0.027898217801587334,0.17314832175294897
positive_decimals,text-embedding-3-small,17,0.9678618860884727,-723.6898237369408,0.04492399116721429,0.0377536650772274,0.03393455251054323,0.028204845286032086,0.027973409200853547,0.17279046324187053
positive_decimals,text-embedding-3-small,18,0.9638646498089123,-610.2473770870276,0.043920487795095796,0.0385232834344594,0.03183336650341075,0.027882766188820865,0.02626716316336265,0.16842706708514943
positive_decimals,text-embedding-3-small,19,0.9717231334257986,-595.5561358730378,0.046342028005467044,0.033581331692799365,0.030515311127772594,0.028584233631439963,0.025572288419090972,0.16459519287656996
positive_decimals,text-embedding-3-large,1,0.9999999837652968,-6357.683925362148,0.17022119397781407,0.14790053443768653,0.13618478963512862,0.1186082876384939,0.10276305148577343,0.6756778571748966
positive_decimals,text-embedding-3-large,2,0.9999962534165283,-2560.386386202611,0.08301284768477607,0.05968623858251402,0.046384886571454904,0.04303894166075501,0.04155973769510306,0.273682652194603
positive_decimals,text-embedding-3-large,3,0.9923180335323741,-2319.528292364645,0.06548137277663015,0.04164542935014038,0.029412221031558716,0.027989056520263546,0.027165239699545644,0.19169331937813844
positive_decimals,text-embedding-3-large,4,0.9835873712318034,-2051.962091438156,0.054657000500962165,0.03470665720288719,0.03297607601131122,0.03002685781804813,0.02838684074299245,0.18075343227620114
positive_decimals,text-embedding-3-large,5,0.9827067285400866,-1499.440611856561,0.05136363093585177,0.03149787685955004,0.02883668171956555,0.02841015003461017,0.026094120768855665,0.1662024603184332
positive_decimals,text-embedding-3-large,6,0.9834068500427269,-1368.3736923423828,0.041653302444554306,0.030137959160179778,0.027463622040447007,0.026963926348612357,0.02595851133272376,0.1521773213265172
positive_decimals,text-embedding-3-large,7,0.9757163868028397,-1292.3826299951622,0.04189325517998601,0.028886118485101652,0.027588932119209673,0.026672811162936856,0.024311329576064532,0.1493524465232987
positive_decimals,text-embedding-3-large,8,0.9789535905657752,-1908.2011214527038,0.04575403262215437,0.02991022727589544,0.026980121029981204,0.024890970561861084,0.023762793950914744,0.15129814544080683
positive_decimals,text-embedding-3-large,9,0.9788865146207786,-1049.5769164233843,0.03373442799461162,0.028685515894192017,0.02521585209505268,0.02438943972054413,0.021990673469753287,0.13401590917415374
positive_decimals,text-embedding-3-large,10,0.9719170875816492,-1156.4000439916647,0.036611131881381286,0.02883292261141922,0.02666252639523988,0.02478124666955589,0.022392012926709542,0.1392798404843058
positive_decimals,text-embedding-3-large,11,0.9701432635205707,-968.3919983690971,0.03460797206104923,0.028340889045683087,0.02478902647565763,0.023847881734541467,0.02180134566459605,0.13338711498152747
positive_decimals,text-embedding-3-large,12,0.9673667011350906,-876.4604636614405,0.030504556357952486,0.025227817314277524,0.025049384625870363,0.02397625651058186,0.023173827030865343,0.12793184183954756
positive_decimals,text-embedding-3-large,13,0.9651562377483149,-1055.8959943820014,0.0375230344646417,0.029790771438287105,0.02701411935726614,0.023786921822221696,0.021183990102665293,0.13929883718508193
positive_decimals,text-embedding-3-large,14,0.9662254074873148,-1108.1793665020869,0.03188722898078403,0.02559844448775679,0.02383997374377862,0.022868336835919226,0.021730547214958346,0.12592453126319703
positive_decimals,text-embedding-3-large,15,0.9586648957572477,-913.7714204449704,0.03241645468368582,0.025781554447328877,0.024593619479210065,0.02311670606943384,0.02191164384997638,0.12781997852963498
positive_decimals,text-embedding-3-large,16,0.9684489745338261,-1195.7732750515693,0.035801179601013804,0.024439495529304755,0.022135570999783444,0.021843800132146797,0.02029087264685387,0.12451091890910265
positive_decimals,text-embedding-3-large,17,0.9669392068568964,-930.0717374754411,0.03265976692495883,0.02486065150206337,0.0228707405618024,0.022185473076489007,0.020367000378544713,0.12294363244385831
positive_decimals,text-embedding-3-large,18,0.9631020660041302,-936.9392263866548,0.029444645993608024,0.024220364310714285,0.022283642042577507,0.021833838774094585,0.02087246354629201,0.11865495466728641
positive_decimals,text-embedding-3-large,19,0.9695906577017518,-1074.3141823480282,0.03235274644451518,0.0225293142218909,0.02142341966175245,0.020631830970063523,0.019387709807365074,0.11632502110558712
positive_decimals,text-embedding-ada-002,1,0.9999999998646584,-2935.210577035727,0.16226698860140254,0.14089185859924078,0.13673410429524088,0.12209310794271186,0.1064433401475438,0.6684293995861399
positive_decimals,text-embedding-ada-002,2,0.9998499593901217,-1589.900270725679,0.10372292150935936,0.06818937452785065,0.057100723629235205,0.04903274305901508,0.04295868613018865,0.32100444885564894
positive_decimals,text-embedding-ada-002,3,0.9909946753896992,-1026.8007193008343,0.06104344815975073,0.04686993142251813,0.0404672729485843,0.03611971180494791,0.03494263155436982,0.21944299589017088
positive_decimals,text-embedding-ada-002,4,0.9828063559855504,-823.6208352350637,0.04994338010577798,0.044572888854510745,0.038558620555470796,0.036395725964200265,0.031185832462859733,0.2006564479428195
positive_decimals,text-embedding-ada-002,5,0.9680457585576049,-629.0876187616208,0.04650812324629945,0.035975152553600814,0.03337995419710344,0.03141073489429338,0.030356502427595043,0.17763046731889215
positive_decimals,text-embedding-ada-002,6,0.9518369804073995,-771.8073625699896,0.04528581622967449,0.03913856008793082,0.033602729170344695,0.03051799416841411,0.029429272346247266,0.17797437200261135
positive_decimals,text-embedding-ada-002,7,0.9793514873255547,-644.5433901691981,0.05012390189713259,0.03781183268188829,0.03440664533000039,0.030311698739271888,0.026303144331143564,0.1789572229794367
positive_decimals,text-embedding-ada-002,8,0.9673053535330205,-921.6268628670315,0.04371602808906511,0.036431996386428675,0.035953274731824345,0.02842322168211027,0.02676806894244249,0.1712925898318709
positive_decimals,text-embedding-ada-002,9,0.9728332111569269,-699.2731910666324,0.04496738682771867,0.03275759940184626,0.02878495028311137,0.026705185801303474,0.025307544664812415,0.1585226669787922
positive_decimals,text-embedding-ada-002,10,0.9696884582480199,-595.5455874809497,0.04510615930504369,0.035823708269924606,0.03397330725460369,0.029193450097642834,0.026687496925069623,0.17078412185228442
positive_decimals,text-embedding-ada-002,11,0.9668634157488576,-540.8778263202172,0.04054714046955514,0.03306191922997549,0.029826650809366063,0.02803474303838541,0.02598777823238197,0.15745823177966406
positive_decimals,text-embedding-ada-002,12,0.9577225186475268,-582.9502495861973,0.03808651067565525,0.031242209083335477,0.03001632552129894,0.026565356686293718,0.024126382834223012,0.1500367848008064
positive_decimals,text-embedding-ada-002,13,0.9603674849061511,-698.078107151487,0.04322176356221223,0.035070364218647274,0.031016379218545168,0.029583781478237904,0.025018127762926997,0.16391041624056957
positive_decimals,text-embedding-ada-002,14,0.9714831460646346,-830.0486857342523,0.04181550305814387,0.03352230779945079,0.028219269770906993,0.027025635814637832,0.024092609923238327,0.15467532636637782
positive_decimals,text-embedding-ada-002,15,0.9624434495112072,-682.7672023466184,0.04093901003929085,0.032177004696329434,0.029039129699313226,0.024513429635145873,0.023675838886420254,0.15034441295649964
positive_decimals,text-embedding-ada-002,16,0.9478191158507461,-683.7782533440502,0.04473953345425199,0.030808348162995408,0.027912652635058488,0.025730448740917376,0.022996599530104852,0.15218758252332812
positive_decimals,text-embedding-ada-002,17,0.9691780054181641,-721.5921396736214,0.04292946615942731,0.030876173005638753,0.028151631611277164,0.02635961691823012,0.02243276043844726,0.1507496481330206
positive_decimals,text-embedding-ada-002,18,0.9719308979357814,-670.5152779124027,0.04316291172388568,0.030346049251749045,0.02644448098402171,0.021689026806302074,0.021400669519043746,0.14304313828500226
positive_decimals,text-embedding-ada-002,19,0.9489904441770342,-616.4841402097418,0.044209838146991864,0.031145549230576164,0.026326582566804008,0.023898421926880534,0.021771645655360418,0.147352037526613
positive_decimals,gemini-embedding-001,1,0.9999999999769213,-7288.8971931742735,0.19805061484351058,0.15850986375220416,0.10962208654935246,0.10384356136840225,0.09759406121925368,0.667620187732723
positive_decimals,gemini-embedding-001,2,0.9999217976111149,-3362.3165359678787,0.09734810381750036,0.05315582211865867,0.04179924379299699,0.04034808192539608,0.03852697985033557,0.2711782315048876
positive_decimals,gemini-embedding-001,3,0.9913278070990678,-2494.086476780923,0.07854526266191329,0.03824380338027752,0.03691033534509928,0.03182354791732795,0.02971208225128527,0.2152350315559033
positive_decimals,gemini-embedding-001,4,0.9777465561189944,-2502.166924111846,0.06363031516112966,0.03474460992667685,0.03323165006810325,0.02888647460244633,0.02833953751803231,0.1888325872763884
positive_decimals,gemini-embedding-001,5,0.9824146059297726,-1694.2856377223175,0.05316628083332669,0.03428262591804352,0.028760342790520706,0.027509005080784094,0.026338029812677074,0.1700562844353521
positive_decimals,gemini-embedding-001,6,0.9825946732056015,-1374.6062718076755,0.04394707584004613,0.031577310279455664,0.027853741716372636,0.025951212476304223,0.024019549777146085,0.15334889008932473
positive_decimals,gemini-embedding-001,7,0.9812619531035853,-1168.5747087761918,0.03974500186495777,0.028471458626283086,0.027112924833243367,0.02451638751464905,0.02392064123286996,0.14376641407200325
positive_decimals,gemini-embedding-001,8,0.9670043264247735,-1109.4793880194861,0.034865003160273834,0.026457366778813426,0.025364946818742646,0.02397098170787545,0.022846619275956163,0.13350491774166154
positive_decimals,gemini-embedding-001,9,0.9716447552778862,-1000.3928001638216,0.03151616698109331,0.027954213274893377,0.025458839943299807,0.024806046556752736,0.02350517608819765,0.1332404428442369
positive_decimals,gemini-embedding-001,10,0.9717299448663707,-939.2518505359703,0.03034213303224235,0.02547699591206884,0.023890677760431717,0.02272498022122188,0.021463325100127127,0.12389811202609191
positive_decimals,gemini-embedding-001,11,0.9603883480167809,-724.9582263464465,0.02814317640907525,0.026595780325308148,0.026057820727864552,0.023750818295325868,0.022347381177030123,0.12689497693460394
