experiment,model,expected_similarity,scale_factor,decimal_size,magnitude_range,mean_similarity,std_similarity,accuracy_within_tolerance,mean_absolute_error,root_mean_square_error,correlation_with_expected
negative_relationships,text-embedding-ada-002,-1.0,,1,"(1e-05, 0.99999)",0.943745144190937,0.008423897166218103,0.0,1.943745144190937,1.9437633980526832,
negative_relationships,text-embedding-ada-002,-1.0,,1,"(1e-05, 0.49999)",0.9461702662567206,0.0048629127154,0.0,1.9461702662567206,1.9461763417485665,
negative_relationships,text-embedding-ada-002,-1.0,,2,"(1e-05, 0.99999)",0.9476668302681153,0.005035008231077484,0.0,1.947666830268115,1.9476733383795481,
negative_relationships,text-embedding-ada-002,-1.0,,2,"(1e-05, 0.49999)",0.946282128828424,0.005794305083463759,0.0,1.9462821288284242,1.9462907539646541,
negative_relationships,text-embedding-ada-002,-1.0,,3,"(1e-05, 0.99999)",0.9535580910052723,0.004545601646637757,0.0,1.9535580910052728,1.9535633794239935,
negative_relationships,text-embedding-ada-002,-1.0,,3,"(1e-05, 0.49999)",0.9516250012198018,0.005739974074259696,0.0,1.9516250012198015,1.9516334421936319,
negative_relationships,text-embedding-ada-002,-1.0,,4,"(1e-05, 0.99999)",0.9578949200310992,0.00393350329080842,0.0,1.9578949200310989,1.957898871323982,
negative_relationships,text-embedding-ada-002,-1.0,,4,"(1e-05, 0.49999)",0.9580556267169761,0.0041368899016195676,0.0,1.9580556267169762,1.9580599968274894,
negative_relationships,text-embedding-ada-002,-1.0,,5,"(1e-05, 0.99999)",0.9613845376450815,0.0035468837111766274,0.0,1.9613845376450814,1.961387744658682,
negative_relationships,text-embedding-ada-002,-1.0,,5,"(1e-05, 0.49999)",0.9616133839224649,0.0032267866704901492,0.0,1.961613383922465,1.9616160378973149,
negative_relationships,text-embedding-ada-002,-1.0,,6,"(1e-05, 0.99999)",0.9620054120165833,0.0034871663320461747,0.0,1.9620054120165833,1.9620085109681327,
negative_relationships,text-embedding-ada-002,-1.0,,6,"(1e-05, 0.49999)",0.9616439757531124,0.0033685798481319063,0.0,1.9616439757531126,1.9616468680521146,
negative_relationships,text-embedding-ada-002,-1.0,,7,"(1e-05, 0.99999)",0.9639811855993332,0.0036840287844307593,0.0,1.963981185599333,1.9639846408402095,
negative_relationships,text-embedding-ada-002,-1.0,,7,"(1e-05, 0.49999)",0.9633051307361907,0.0038219255026599257,0.0,1.9633051307361906,1.9633088507643413,
negative_relationships,text-embedding-ada-002,-1.0,,8,"(1e-05, 0.99999)",0.9661172698031733,0.0036939848915312785,0.0,1.9661172698031733,1.9661207399706313,
negative_relationships,text-embedding-ada-002,-1.0,,8,"(1e-05, 0.49999)",0.9658011585931772,0.003492041607914534,0.0,1.9658011585931772,1.9658042602153627,
negative_relationships,text-embedding-ada-002,-1.0,,9,"(1e-05, 0.99999)",0.9674832549564412,0.0031470035680301166,0.0,1.967483254956441,1.9674857717822127,
negative_relationships,text-embedding-ada-002,-1.0,,9,"(1e-05, 0.49999)",0.9669988825169048,0.002799744127271391,0.0,1.966998882516905,1.967000875035375,
negative_relationships,text-embedding-ada-002,-1.0,,10,"(1e-05, 0.99999)",0.964802380971611,0.0034522447102491778,0.0,1.964802380971611,1.9648054138426154,
negative_relationships,text-embedding-ada-002,-1.0,,10,"(1e-05, 0.49999)",0.9641819327741022,0.003682980282777766,0.0,1.9641819327741024,1.964185385695549,
negative_relationships,text-embedding-ada-002,-1.0,,11,"(1e-05, 0.99999)",0.9658466319171422,0.003016230578765717,0.0,1.9658466319171422,1.9658489458416881,
negative_relationships,text-embedding-ada-002,-1.0,,11,"(1e-05, 0.49999)",0.9653774014240311,0.002946305688477812,0.0,1.9653774014240313,1.9653796098325347,
negative_relationships,text-embedding-ada-002,-1.0,,12,"(1e-05, 0.99999)",0.966978805830766,0.003068716085850997,0.0,1.9669788058307658,1.9669811996066058,
negative_relationships,text-embedding-ada-002,-1.0,,12,"(1e-05, 0.49999)",0.9663933729868847,0.002806584782151976,0.0,1.9663933729868848,1.966395375870498,
negative_relationships,text-embedding-ada-002,-1.0,,13,"(1e-05, 0.99999)",0.9651063880563642,0.003265289006690861,0.0,1.9651063880563642,1.9651091009132868,
negative_relationships,text-embedding-ada-002,-1.0,,13,"(1e-05, 0.49999)",0.9643651264315294,0.0035279929509312675,0.0,1.9643651264315294,1.9643682945605234,
negative_relationships,text-embedding-ada-002,-1.0,,14,"(1e-05, 0.99999)",0.964882532793739,0.003398969541151147,0.0,1.9648825327937391,1.9648854726603995,
negative_relationships,text-embedding-ada-002,-1.0,,14,"(1e-05, 0.49999)",0.9638583758587798,0.0031745076032373863,0.0,1.96385837585878,1.9638609415967332,
negative_relationships,text-embedding-3-small,-1.0,,1,"(1e-05, 0.99999)",0.7452332039874925,0.021078766166264324,0.0,1.7452332039874925,1.7453604930453597,
negative_relationships,text-embedding-3-small,-1.0,,1,"(1e-05, 0.49999)",0.7566231398382083,0.020541741628251,0.0,1.7566231398382084,1.7567432420715805,
negative_relationships,text-embedding-3-small,-1.0,,2,"(1e-05, 0.99999)",0.8001021867516465,0.018813029969758015,0.0,1.8001021867516465,1.8002004924020831,
negative_relationships,text-embedding-3-small,-1.0,,2,"(1e-05, 0.49999)",0.791411324525984,0.01494371464795648,0.0,1.7914113245259842,1.7914736526802229,
negative_relationships,text-embedding-3-small,-1.0,,3,"(1e-05, 0.99999)",0.8564741526020694,0.016257156576954507,0.0,1.8564741526020694,1.8565453332519353,
negative_relationships,text-embedding-3-small,-1.0,,3,"(1e-05, 0.49999)",0.8490921301761688,0.014568297341101976,0.0,1.849092130176169,1.8491495183372437,
negative_relationships,text-embedding-3-small,-1.0,,4,"(1e-05, 0.99999)",0.8448989726262986,0.016229128700898845,0.0,1.8448989726262988,1.8449703530994646,
negative_relationships,text-embedding-3-small,-1.0,,4,"(1e-05, 0.49999)",0.8396188242009065,0.013000668322119041,0.0,1.8396188242009066,1.8396647617789355,
negative_relationships,text-embedding-3-small,-1.0,,5,"(1e-05, 0.99999)",0.858214579224067,0.012299552537525796,0.0,1.858214579224067,1.8582552842474307,
negative_relationships,text-embedding-3-small,-1.0,,5,"(1e-05, 0.49999)",0.8535063934770744,0.010352030692490893,0.0,1.8535063934770744,1.8535353018488343,
negative_relationships,text-embedding-3-small,-1.0,,6,"(1e-05, 0.99999)",0.8489428587861707,0.012067999458125483,0.0,1.8489428587861705,1.8489822421178899,
negative_relationships,text-embedding-3-small,-1.0,,6,"(1e-05, 0.49999)",0.8449926734525491,0.010771950193049126,0.0,1.8449926734525492,1.8450241190847738,
negative_relationships,text-embedding-3-small,-1.0,,7,"(1e-05, 0.99999)",0.8461803860555943,0.011333010342328876,0.0,1.8461803860555943,1.8462151702821106,
negative_relationships,text-embedding-3-small,-1.0,,7,"(1e-05, 0.49999)",0.8455702053736405,0.010787568902948734,0.0,1.8455702053736405,1.8456017323912917,
negative_relationships,text-embedding-3-small,-1.0,,8,"(1e-05, 0.99999)",0.8590255676218148,0.010155510193696678,0.0,1.8590255676218148,1.8590533062445802,
negative_relationships,text-embedding-3-small,-1.0,,8,"(1e-05, 0.49999)",0.8576592270025285,0.009006800604533932,0.0,1.8576592270025285,1.8576810614647394,
negative_relationships,text-embedding-3-small,-1.0,,9,"(1e-05, 0.99999)",0.8536301656320467,0.009088493098714815,0.0,1.8536301656320466,1.8536524462929653,
negative_relationships,text-embedding-3-small,-1.0,,9,"(1e-05, 0.49999)",0.8502750030519111,0.009249073159980893,0.0,1.8502750030519113,1.8502981198371975,
