experiment,model,size,k_folds,model_type,linear_r2_mean,linear_r2_std,pca_r2_mean,pca_r2_std,pca_explained_var_mean,pca_explained_var_std,linear_r2_fold_1,linear_r2_fold_2,linear_r2_fold_3,linear_r2_fold_4,linear_r2_fold_5,pca_r2_fold_1,pca_r2_fold_2,pca_r2_fold_3,pca_r2_fold_4,pca_r2_fold_5,pca_explained_var_fold_1,pca_explained_var_fold_2,pca_explained_var_fold_3,pca_explained_var_fold_4,pca_explained_var_fold_5
positive_decimals_kfold,text-embedding-3-large,1,5,LinearRegression,0.9999999985609811,1.1909344754897738e-09,0.6340284996431231,0.04628476831204589,0.1732203606263973,0.002681172408562566,0.999999998388717,0.9999999998721528,0.999999996418428,0.9999999987102467,0.9999999994153606,0.665977708315802,0.6120483463660074,0.5992473313540949,0.708442497818856,0.5844266143608552,0.17026522583142853,0.1761545012794519,0.17472590006401048,0.16971830193356688,0.1752378740235289
positive_decimals_kfold,text-embedding-3-large,2,5,LinearRegression,0.9999539491581053,5.8183099000671784e-05,0.8491807118006978,0.034577264292382504,0.0841910682916667,0.0013323806996734236,0.999999922511276,0.9998477718963369,0.9999353435318563,0.999999970730221,0.9999867371208371,0.7872507872941894,0.8814922983414971,0.8623202615268813,0.8375435008578179,0.8772967109831032,0.08301385396490271,0.08537771070099628,0.08255677520430596,0.08398094741446635,0.08602605417366219
positive_decimals_kfold,text-embedding-3-large,3,5,LinearRegression,0.9921098387183294,0.0009885846526349687,0.8025459153173387,0.03606756199473819,0.06553130477639882,0.0008647073289007822,0.9921746318544428,0.9910045294380007,0.993887359701378,0.9914026458723807,0.992080026725445,0.7833237790781047,0.8003640619734689,0.842506779552666,0.8399635413517724,0.7465714146306814,0.06548782543565404,0.06715223601590549,0.06468930966735055,0.06541841081658187,0.06490874194650208
positive_decimals_kfold,text-embedding-3-large,4,5,LinearRegression,0.9821275626776362,0.003819577110456134,0.6645069631237035,0.05041767461147784,0.056223574598297535,0.0014362987579207606,0.9837034825014268,0.980412851658122,0.9888804144921549,0.9786653183567169,0.9789757463797604,0.680246271482231,0.5775198024245731,0.6539658826625026,0.732228547058219,0.6785743119909917,0.05461537834128094,0.05883573170626754,0.055571445928169365,0.055590522910885544,0.05650479410488427
positive_decimals_kfold,text-embedding-3-large,5,5,LinearRegression,0.9822480009023105,0.003570994505229745,0.7713415454199687,0.03710861945337302,0.05020709975906902,0.0013488926046361712,0.9828543815285766,0.986183913181183,0.9761749137041301,0.9807945185849455,0.985232277512717,0.7243816087954281,0.751513410789048,0.8368072397313526,0.772338997100529,0.7716664706834855,0.05139282747759792,0.04847760517497065,0.04873533395828127,0.05071328159370704,0.05171645059078824
positive_decimals_kfold,text-embedding-3-large,6,5,LinearRegression,0.9768909520951491,0.007516379928103756,0.7112444283112278,0.06082409696042651,0.04063934480414296,0.0015867858245819015,0.9832068555086623,0.9787159955172284,0.9810884558704261,0.9792516944630056,0.9621917591164225,0.717688707048821,0.7113688123748898,0.6229645033471716,0.6915831224177809,0.8126169963674759,0.041647479728729245,0.039832059015231444,0.04326846516842287,0.039175562927646075,0.0392731571806852
positive_decimals_kfold,text-embedding-3-large,7,5,LinearRegression,0.9729420587645293,0.005336636624820389,0.8313799903664674,0.029552150947073745,0.04230603669745512,0.0011838712420490353,0.9760437492372692,0.9757593307802248,0.9791072236852197,0.9695285517750161,0.964271438344917,0.7960080984209441,0.8831187256621363,0.836101588896259,0.8109887908276135,0.8306827480253833,0.04189352949292725,0.04027265219565323,0.04247149218450333,0.043640381916869656,0.04325212769732211
positive_decimals_kfold,text-embedding-3-large,8,5,LinearRegression,0.9769870556486208,0.00351367169882721,0.6507867615167541,0.022979373232542493,0.04706419330933374,0.0009030765978977115,0.9792451367080856,0.9774783318601435,0.9741059731629591,0.9721498656561329,0.9819559708557826,0.6582848076073938,0.6689000338131439,0.6506761926365601,0.6691071954441503,0.6069655780825225,0.04578392301733576,0.04735589239671416,0.0474413130453588,0.04636383739046268,0.048376000696797324
positive_decimals_kfold,text-embedding-3-large,9,5,LinearRegression,0.9681566390362943,0.0062519728155617125,0.5671424586457275,0.017682142103390176,0.03339507445182074,0.0006726105611116307,0.9788425971511627,0.965159106836129,0.959754719325066,0.9676725147267925,0.9693542571423219,0.5779819901296128,0.5745581850595567,0.5326300940470785,0.5810827344798757,0.5694592895125143,0.03375593484529294,0.03351813501051846,0.03359017489993963,0.03401682893205825,0.03209429857129443
positive_decimals_kfold,text-embedding-3-large,10,5,LinearRegression,0.9727030113080811,0.0058132258786169,0.768672503532149,0.035015090378617615,0.03744534556417354,0.0009709791528117326,0.9716417880306432,0.9769911609936716,0.965552972675967,0.9679327364727315,0.9813963983673927,0.789981591422142,0.7979787835174745,0.7026602434547826,0.7633096159997057,0.7894322832666396,0.036630394344639945,0.036395761998151324,0.03894651561537999,0.03818769848344105,0.037066357379255364
positive_decimals_kfold,text-embedding-3-large,11,5,LinearRegression,0.9700120433916737,0.0016436852367813475,0.7224493704609407,0.018070859443623927,0.034687597758278996,0.0009079081221607154,0.9698744312276171,0.9719695240941588,0.9711085015309601,0.9700035587901552,0.9671042013154776,0.7432373045597984,0.6948966415677913,0.7336464193350098,0.7326084684694314,0.7078580183726726,0.03462432847107099,0.034410772050446736,0.03316756584226897,0.03563025541704385,0.035605067010564435
positive_decimals_kfold,text-embedding-3-large,12,5,LinearRegression,0.9664803568191316,0.004908646289054057,0.4634201902923074,0.044062924222433686,0.03033757547907019,0.000212559151487582,0.9672612439503216,0.9693484112205072,0.9622227843925311,0.9599536261367491,0.9736157183955487,0.4124171029802912,0.5331520086177105,0.4465968473014852,0.49376466014366927,0.4311703324183812,0.030504483808694156,0.02994238542325505,0.030382680336252174,0.030321781273261832,0.030536546553887725
positive_decimals_kfold,text-embedding-3-large,13,5,LinearRegression,0.9655130085655689,0.007680589817113221,0.787873734208616,0.019117708355995477,0.03750459187913817,0.00030117231587768436,0.9655898764402502,0.9744197539185308,0.9607158796342683,0.9538321309717891,0.9730074018630055,0.7625555110316908,0.7666402767159388,0.8014046823314152,0.8062933903930765,0.8024748105709587,0.037520432310005916,0.037214741479732937,0.03805655342937008,0.03747956684992189,0.03725166532665999
positive_decimals_kfold,text-embedding-3-large,14,5,LinearRegression,0.963837477324048,0.002575956360675614,0.7439608078419951,0.037688816164110316,0.032697836808192084,0.0007212175335401378,0.9662812416733544,0.9593653217164705,0.966310137636755,0.9629107651329785,0.9643199204606815,0.8010020509956219,0.7279557525810966,0.727917248012212,0.6925886815097698,0.7703403061112757,0.03188920311600943,0.03190944876042843,0.03278680572434964,0.03375211508413412,0.0331516113560388
positive_decimals_kfold,text-embedding-3-large,15,5,LinearRegression,0.968417632960746,0.004916042772787796,0.7588607536578601,0.03439649947299445,0.03180330755865657,0.0006049728325795983,0.9587443929052744,0.9691922648006729,0.9712992307406739,0.9710656232657289,0.97178665309138,0.7450852422434295,0.7643426409182452,0.7944151170059603,0.7001743446569858,0.7902864234646793,0.03243427315909051,0.03168516577055772,0.03133784034515501,0.0325542596611733,0.0310049988573063
positive_decimals_kfold,text-embedding-3-large,16,5,LinearRegression,0.9664699464913747,0.006595397151860684,0.7674081779133102,0.033941127286248596,0.03613104563966378,0.0007584853328689229,0.968495182201243,0.959900531597741,0.9575910581435694,0.9723710800605644,0.9739918804537562,0.7330621978512493,0.7505189776438177,0.7380864980460513,0.817449916938398,0.7979232990870353,0.03580367774791913,0.03692748445873818,0.03713540789360451,0.035537103810168454,0.035251554287888634
