experiment,model,format,size,linear_r2,pca_r2,pca_var_comp_1,pca_var_comp_2,pca_var_comp_3,pca_var_comp_4,pca_var_comp_5,pca_cumulative_var_5
format_comparison,gemini-embedding-001,standard,standard,-0.4508425319897842,-0.055539267574172824,0.03976567235225686,0.03678919115066909,0.03356990243418086,0.03210062617081735,0.030212756316445013,0.17243814842436916
format_comparison,gemini-embedding-001,scientific_3sf,scientific_3sf,0.6316210671076548,0.6470799156319578,0.12808312184675572,0.058160264794175284,0.048663928388912654,0.046403799024844275,0.04172419027572716,0.32303530433041505
format_comparison,gemini-embedding-001,rounded_3sf,rounded_3sf,0.682415796622328,-0.05553926756500149,0.0734590472567013,0.06327806779591365,0.0503118102326175,0.04742242860918371,0.044830179399790136,0.27930153329420626
format_comparison,gemini-embedding-001,written_words,written_words,0.6132153530758289,0.6464396949056186,0.15363874588068607,0.04257285903760516,0.03955167871005271,0.037125749762197235,0.032133240314728855,0.30502227370527
