experiment,model,format,size,linear_r2_mean,linear_r2_std,pca_r2_mean,pca_r2_std,pca_var_comp_1_mean,pca_var_comp_1_std,pca_cumulative_var_5_mean,pca_cumulative_var_5_std
format_size_sweep_kfold,voyage-3-large,scientific_3sf,2,0.9949235379681317,0.003382907806256034,0.788631245226196,0.013696389859125616,0.40031098783347696,0.0038541981940028664,0.6843425434358726,0.0035789136372435153
format_size_sweep_kfold,voyage-3-large,scientific_3sf,3,0.9740122398049686,0.009814905479536765,0.76445386339912,0.02996188140090989,0.4816801008382745,0.008116759955816346,0.6975137960470856,0.0038045616312360896
format_size_sweep_kfold,voyage-3-large,scientific_3sf,4,0.9707255285614599,0.018448073478096304,0.7497487897729449,0.034910496870063874,0.50940839069525,0.005307482297313499,0.7260478474953321,0.0027452137948843864
format_size_sweep_kfold,voyage-3-large,scientific_3sf,5,0.9851626320900116,0.0025617716337653913,0.7541010196741728,0.010591605693506635,0.5556877516677845,0.002479914649044288,0.7427187096169338,0.0009872052569200773
format_size_sweep_kfold,voyage-3-large,scientific_3sf,6,0.9809067265648466,0.006052796066423251,0.7354297128432564,0.03552073983083437,0.5658291107665163,0.002683629332394684,0.7427668992641375,0.0025886479762794665
format_size_sweep_kfold,voyage-3-large,scientific_3sf,7,0.973927708343524,0.013881114756439177,0.7336762196028295,0.03494922928822274,0.5816830420604304,0.004421404605043546,0.7547397273347249,0.0032341296980111294
format_size_sweep_kfold,voyage-3-large,scientific_3sf,8,0.9707602379106983,0.013930490160889744,0.7401896270431167,0.017699422726370345,0.6067567572677744,0.002460486579780261,0.7571802307954398,0.002758288085574241
format_size_sweep_kfold,voyage-3-large,scientific_3sf,9,0.9718311637888247,0.011914600697648447,0.7397402760160426,0.008835599040776698,0.6202298314257801,0.005297559713418521,0.7613957173439072,0.004943047091995224
format_size_sweep_kfold,voyage-3-large,scientific_3sf,10,0.9601444109861426,0.03713364201912068,0.7084649777956828,0.03584536794583023,0.5708336249547753,0.0016308814590281914,0.7293977297061395,0.0018522452457187424
format_size_sweep_kfold,voyage-3-large,scientific_3sf,11,0.9684250696048377,0.006958705075376187,0.712255103900139,0.03077413133287913,0.5876893616883632,0.0033835891191383066,0.7343095999899317,0.0019238922345758706
format_size_sweep_kfold,voyage-3-large,scientific_3sf,12,0.964594786238632,0.008932548455123866,0.7406423598354301,0.02330953977082937,0.6140832516019468,0.0032155979195779985,0.7514249344397619,0.0032603699644012125
format_size_sweep_kfold,voyage-3-large,scientific_3sf,13,0.9631560548090075,0.009191229980020867,0.7394226421919126,0.02820838935363583,0.6002955552305947,0.0022153042918285066,0.7423955516539656,0.0028048379980706467
format_size_sweep_kfold,voyage-3-large,scientific_3sf,14,0.9615451970439814,0.022247892826664842,0.7480877062655583,0.029972757797219092,0.6282679948526193,0.004141214771625165,0.753896809163906,0.003684774641645545
format_size_sweep_kfold,voyage-3-large,scientific_3sf,15,0.9553964823801661,0.014783628202139269,0.7207844555305382,0.03409856714604887,0.6417335275512652,0.0019488956081936105,0.766322664971266,0.002734320477574303
format_size_sweep_kfold,voyage-3-large,scientific_3sf,16,0.9562889894773315,0.02668239155858909,0.7630399759503529,0.019317077471983347,0.630293517894984,0.0019766976135391443,0.7616460034979816,0.0030967935411165175
format_size_sweep_kfold,voyage-3-large,scientific_3sf,17,0.9612760256672273,0.012517445781698795,0.735164532378196,0.018659265646062843,0.6759813886087337,0.0010537823148911362,0.785485106759144,0.0015590464904319168
format_size_sweep_kfold,voyage-3-large,scientific_3sf,18,0.9719963383725918,0.007869031686601337,0.7573862107820271,0.02812161331866986,0.6646830326852042,0.004565816835375128,0.7807097613060282,0.004193064278302047
format_size_sweep_kfold,voyage-3-large,scientific_3sf,19,0.9610246821730393,0.01810021711165287,0.7296066969346653,0.02621948330105294,0.638780660725244,0.003847291920212721,0.7654770540410881,0.0016635589319928107
format_size_sweep_kfold,voyage-3-large,scientific_3sf,20,0.9690593486389035,0.008222547732779587,0.7453799810237219,0.024489928867479627,0.6143765745166292,0.0027337816006510205,0.7675025806253474,0.004044602271867095
format_size_sweep_kfold,voyage-3-large,rounded_3sf,1,1.0,0.0,0.7759229110273557,0.017099765551906163,0.46371871670140363,0.0036267646095555247,0.8225135971040285,0.0010255803524883448
format_size_sweep_kfold,voyage-3-large,rounded_3sf,2,0.9972191505890706,0.0013425341392461693,0.7624152359472632,0.014157064276537325,0.38720426779958783,0.0027649669819031944,0.6486832995877835,0.0015657239815567003
format_size_sweep_kfold,voyage-3-large,rounded_3sf,3,0.9704253232278999,0.008791104935472745,0.738463145718336,0.040662335131826176,0.3888154656929968,0.0035207670181869495,0.6017934809430894,0.0023367852966253004
format_size_sweep_kfold,voyage-3-large,rounded_3sf,4,0.9505033901218741,0.013138452295007822,0.7416542154331414,0.03295326384326972,0.35424132420760224,0.0049379964496261124,0.5740465314351925,0.003746846309461675
format_size_sweep_kfold,voyage-3-large,rounded_3sf,5,0.968411809547695,0.005728116973915071,0.7398276647701384,0.014198822661112198,0.44012208069090875,0.003963289382285317,0.6484038856025356,0.002340848686771468
format_size_sweep_kfold,voyage-3-large,rounded_3sf,6,0.9337750125470506,0.08112212475956444,0.7152845519243698,0.04222606170810951,0.4613290742102967,0.004552684330283261,0.6507964664764332,0.004460714640430529
format_size_sweep_kfold,voyage-3-large,rounded_3sf,7,0.9339122547580738,0.02581191990995416,0.7053667992995071,0.0354210256596008,0.4708016038967483,0.002248177722992417,0.6588433893967357,0.001443723472938675
format_size_sweep_kfold,voyage-3-large,rounded_3sf,8,0.9379771519228542,0.024744350727778433,0.7181275417465389,0.02676833083482459,0.46606958754745487,0.002821838654752024,0.6714085226257824,0.003094392492708991
format_size_sweep_kfold,voyage-3-large,rounded_3sf,9,0.938981297728206,0.019162358533573533,0.7236472727915311,0.010225469247538872,0.47307297260189224,0.0040625574089443485,0.6548642803956868,0.0047854416683816405
format_size_sweep_kfold,voyage-3-large,rounded_3sf,10,0.9446068568816394,0.007242311442325713,0.6977434356416451,0.029856088305489255,0.4667401496468967,0.004495994536627454,0.6546025867928742,0.003053506443467617
format_size_sweep_kfold,voyage-3-large,rounded_3sf,11,0.9050500137241257,0.021861341762894077,0.703463290808698,0.03156278465804922,0.46885301426330833,0.0037174877335900934,0.6572380212578596,0.0012709938480385157
format_size_sweep_kfold,voyage-3-large,rounded_3sf,12,0.8721185453154512,0.015528167827555771,0.7300692654850481,0.027393888681576547,0.48612527433781344,0.0028359174979383957,0.6677899731558514,0.002935773583461869
