experiment,model,format,size,linear_r2_mean,linear_r2_std,pca_r2_mean,pca_r2_std,pca_var_comp_1_mean,pca_var_comp_1_std,pca_cumulative_var_5_mean,pca_cumulative_var_5_std
format_size_sweep_kfold,gemini-embedding-001,standard,14,0.4343186267937467,0.058779890123637164,-0.008032492547237924,0.010003290381174368,0.02358007966346968,0.00011493839226207466,0.1061196749776808,0.0003506907564650125
format_size_sweep_kfold,gemini-embedding-001,standard,15,0.5104936703099691,0.050038007033110406,-0.019366966624901717,0.0162661855095989,0.02330224013870753,0.00027896280178130194,0.1062919163427856,0.0008250260212277438
format_size_sweep_kfold,gemini-embedding-001,standard,16,0.33106197266883197,0.1173443795488975,-0.0009651646333307395,0.01150933064295155,0.022415874617848768,0.0003369292795866236,0.10378861681813023,0.0008184328632266175
format_size_sweep_kfold,gemini-embedding-001,standard,17,0.23525629406231544,0.07447544421863254,-0.008200808270551651,0.011333239091679626,0.024186843037356475,0.00033356594128570934,0.10662010493844773,0.00038207713034180536
format_size_sweep_kfold,gemini-embedding-001,standard,18,0.4001068435482871,0.07455905349389977,-0.01605892076545583,0.029134891598590347,0.02339640242341602,0.0003454002992618749,0.10631180819214811,0.0012836203133768074
format_size_sweep_kfold,gemini-embedding-001,standard,19,0.39008260611381906,0.04719576475585432,-0.008305521650815684,0.015489846868366476,0.023122712338324795,0.00038089535523181257,0.10549619296603807,0.0008528751494532605
format_size_sweep_kfold,gemini-embedding-001,standard,20,0.5015098511886831,0.029395976638752732,-0.023669578207857624,0.01909347037230046,0.023291208010491327,0.00038982880888158026,0.10416398691877042,0.0007248169790862244
format_size_sweep_kfold,gemini-embedding-001,scientific_3sf,1,1.0,0.0,0.6059705071624083,0.010181151833929186,0.2065800417543683,0.004681167171755696,0.6226549817514686,0.0046146435454442565
format_size_sweep_kfold,gemini-embedding-001,scientific_3sf,2,0.9930874748739592,0.0038822124485283858,0.7388083875290137,0.01970520281626806,0.15095503012944692,0.0019885863066135094,0.40892230741907687,0.0009496345701257552
format_size_sweep_kfold,gemini-embedding-001,scientific_3sf,3,0.9396283044049027,0.015191459503239592,0.723934792374186,0.021169003432344326,0.13265401703028828,0.0013254545584336977,0.31535936489548144,0.001124013144612817
format_size_sweep_kfold,gemini-embedding-001,scientific_3sf,4,0.9555519819319571,0.015244345344160975,0.7117758131200335,0.0296447824442319,0.1272757704714198,0.0009047603568313687,0.3053622573840342,0.0014845075300962635
format_size_sweep_kfold,gemini-embedding-001,scientific_3sf,5,0.9460459409715443,0.015403117611189523,0.7102811831614795,0.004361299756056598,0.1284711563245589,0.0009607902612277998,0.2910693875986975,0.0020038390698710975
format_size_sweep_kfold,gemini-embedding-001,scientific_3sf,6,0.950706684131284,0.009928044690640212,0.6716679651099284,0.025294857208874758,0.1176154719490687,0.0007094041810367032,0.2809437080774394,0.0017650236361762403
