experiment,model,format,size,linear_r2_mean,linear_r2_std,pca_r2_mean,pca_r2_std,pca_var_comp_1_mean,pca_var_comp_1_std,pca_cumulative_var_5_mean,pca_cumulative_var_5_std
format_size_sweep_kfold,text-embedding-3-large,standard,1,0.9999999981688484,2.2209180244034225e-09,0.7310128436048473,0.017957823792465244,0.35042756059910596,0.0023533713986356843,0.6868543044297775,0.0030263414856478536
format_size_sweep_kfold,text-embedding-3-large,standard,2,0.9980043362581095,0.0007656006456221771,0.7607600223794556,0.009193611760525,0.2250491803780216,0.0007624744280801342,0.4255600571066319,0.0017215644229925694
format_size_sweep_kfold,text-embedding-3-large,standard,3,0.9824959579284561,0.002916016036788048,0.7637739931285313,0.020787274662124197,0.18460094864980467,0.0015230633320011389,0.3523024713934576,0.0015705692779191332
format_size_sweep_kfold,text-embedding-3-large,standard,4,0.9611700803173517,0.003723261742294689,0.6812795281121823,0.011051673924275552,0.1331747018107556,0.002375361916246755,0.2887384364518287,0.0028567359996940333
format_size_sweep_kfold,text-embedding-3-large,standard,5,0.9537521945303865,0.01229871279997425,0.7262950923878081,0.012064866850252745,0.14849979383719542,0.001346794391748248,0.2739635202744359,0.0019355641332991062
format_size_sweep_kfold,text-embedding-3-large,standard,6,0.9382198775661783,0.00838049616718748,0.7291414259124972,0.04152878022707919,0.121205707292585,0.00041552548144679723,0.22637843026721988,0.001323530833170224
format_size_sweep_kfold,text-embedding-3-large,standard,7,0.9137762707051129,0.01380861353749619,0.7098304404373025,0.03400855161630709,0.12035705630607807,0.0005574531966822051,0.23462129387833014,0.0009275034077855523
format_size_sweep_kfold,text-embedding-3-large,standard,8,0.9123735035449883,0.014922701273869778,0.7341818590302266,0.021682054434067066,0.1196380582759468,0.0004007886870818602,0.22595092484205756,0.0013355639921869631
format_size_sweep_kfold,text-embedding-3-large,standard,9,0.9048544724433988,0.006212798999782869,0.7388132329222236,0.013072848363225777,0.1301349897195036,0.0011815289298517072,0.22863467638424617,0.0008141183480752669
format_size_sweep_kfold,text-embedding-3-large,standard,10,0.906067407717601,0.023799503503544577,0.6293204507823091,0.02803627158746223,0.1452447057427893,0.0006218501338479019,0.24745511300644454,0.0012365911118372617
format_size_sweep_kfold,text-embedding-3-large,standard,11,0.8969282288081517,0.01406769038411683,0.6935448013475819,0.0067264071916055684,0.13951597491902779,0.0007461756169928793,0.23190679726282007,0.0014685575241593241
format_size_sweep_kfold,text-embedding-3-large,standard,12,0.8677509448529108,0.020190335440540608,0.7194690886888574,0.02192591865008914,0.1355955962114525,0.0012225599582381306,0.23482414076005043,0.0011435953726156517
format_size_sweep_kfold,text-embedding-3-large,standard,13,0.885180406187662,0.007019001803145531,0.6937914802132191,0.02961178219290771,0.1226122023095885,0.0014701130009370695,0.2284092681321744,0.0015506694334230652
format_size_sweep_kfold,text-embedding-3-large,standard,14,0.8486041499703214,0.04097867806910819,0.712992442856005,0.03260105414158619,0.13470564615197111,0.0009786191003224262,0.22753745058734481,0.000934345189780597
format_size_sweep_kfold,text-embedding-3-large,standard,15,0.8693683463260907,0.012261515666310788,0.7043446119535895,0.027235751699130277,0.1356945836714987,0.000632256932513658,0.22509156368910999,0.000973193817921414
format_size_sweep_kfold,text-embedding-3-large,standard,16,0.8611618688817961,0.021646185237081214,0.7380493538917307,0.020902746831278806,0.12855999915707036,0.0007185903199929038,0.22019690872633793,0.001229597181427804
format_size_sweep_kfold,text-embedding-3-large,standard,17,0.8375529678005691,0.022813076265442933,0.7229984734102326,0.020461120029352447,0.12958881401420652,0.0010524468040388141,0.21945709144678044,0.0009654031256374756
format_size_sweep_kfold,text-embedding-3-large,standard,18,0.8581678607152121,0.02269718611851762,0.7369307594171421,0.022835802688631893,0.1301566941884312,0.002272581154524379,0.21636581582672548,0.0029374349223484884
format_size_sweep_kfold,text-embedding-3-large,standard,19,0.8438344147083754,0.0197624881013914,0.7113137898370575,0.020557384549071557,0.13206825804337266,0.0014880205783473145,0.2209936763611175,0.0010796858200646574
format_size_sweep_kfold,text-embedding-3-large,standard,20,0.8428462949861961,0.02588433883772443,0.7200877059779226,0.02974861536724162,0.13167446502455096,0.002218100280953385,0.22079752321549506,0.0030929418133144246
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,1,0.9999999878938898,2.1732477095431002e-09,0.7517012489635942,0.013633802036473623,0.2987548022549838,0.0018336933064888258,0.6724721269114309,0.00380330673419795
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,2,0.9972832810283778,0.0010931861464646185,0.7515773775969234,0.007989826170309905,0.23436178981667904,0.0004867792488316693,0.512756443763059,0.0034337237675523993
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,3,0.9749349871028657,0.005776069182475654,0.7411254114970529,0.025187962101292292,0.2269242494096244,0.002274720847489645,0.4549105455011399,0.002630800811970177
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,4,0.9716819848984894,0.006937330383608531,0.7050123093786848,0.030193753875031197,0.23797745167267298,0.001437766762727377,0.45375209458242327,0.0030971929344164872
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,5,0.9743046283434849,0.00833720192463872,0.7274824802532279,0.009695510308909302,0.25433865055575977,0.001295955643610714,0.4634126788694045,0.0012206351572180724
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,6,0.9682647414698826,0.00855173391929278,0.7128966602488057,0.02544041558475464,0.26454177707995863,0.0010400298946386896,0.4618019338756475,0.0018122932077345958
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,7,0.9765191337154508,0.004275340983717914,0.6973123230699171,0.03895702329658513,0.26119637499306403,0.0015140500440465208,0.4704343150456358,0.0028522880889635636
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,8,0.9584348739077647,0.011339613620521617,0.6914451162733379,0.025133535320212546,0.26023567589996977,0.001105413716351222,0.47036594560561473,0.002529600967285963
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,9,0.9718053400163823,0.0055764932726717845,0.7078007631537908,0.017140517090053393,0.2615926941912393,0.0008819072150260315,0.47226773967692104,0.0022152373268267177
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,10,0.9661911999754867,0.011092791518835868,0.6814784671813913,0.018591449095373778,0.26702718601187203,0.0008400626018461256,0.4671598387666025,0.0014117059132605192
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,11,0.9750235007027113,0.008664210438692681,0.684822367013856,0.02117208858680788,0.272769686497685,0.001646154898903503,0.4821210310625125,0.002629010840891592
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,12,0.9706588966868557,0.008042004597818545,0.7084254922278566,0.027519124230844513,0.25613723111991693,0.0018474729768822953,0.46262245047606143,0.0014681660077060673
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,13,0.974595985342089,0.002966531243156379,0.6951775717380555,0.02826661929087371,0.25093626126007185,0.0018128241278179327,0.4557647678826167,0.0021148394744293026
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,14,0.9698431662971758,0.010282768437224761,0.7086199847375598,0.024931203112560935,0.2527745633665316,0.002041884006208885,0.46555543441211833,0.003284496994669141
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,15,0.9744479347753879,0.00545404867133514,0.686409126609475,0.03827847408659246,0.2732474077381947,0.0018892498055054527,0.483905349506363,0.0035836018294526937
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,16,0.9656568044192484,0.0126834427040669,0.7254352591055777,0.022880940210591023,0.2945397262587285,0.0009246071740639305,0.5056301743121162,0.0018540947359459016
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,17,0.9743842132912739,0.006440571178169184,0.6913820431221148,0.015223022254337899,0.3053671705618138,0.0019057310436511688,0.5130997900376748,0.0032661250559972697
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,18,0.9721191169534087,0.007325435545114248,0.7069170541467924,0.02947038976521825,0.29877779619125644,0.0018481707938419265,0.5067472405981998,0.005363546296899999
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,19,0.9759150734083578,0.006110789284594941,0.6541652166190347,0.02069364158453602,0.2893289694506872,0.0015728337355017646,0.5101893855118784,0.0023107040841822113
format_size_sweep_kfold,text-embedding-3-large,scientific_3sf,20,0.9746019031354699,0.0061316869973094676,0.6960303655059199,0.03330131412569845,0.30488887152434263,0.001223652681549785,0.5236460479453693,0.0036101060440856055
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,1,0.9999999981688484,2.2209180244034225e-09,0.7310128436048473,0.017957823792465244,0.35042756059910596,0.0023533713986356843,0.6868543044297775,0.0030263414856478536
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,2,0.9980043362581095,0.0007656006456221771,0.7607600223794556,0.009193611760525,0.2250491803780216,0.0007624744280801342,0.4255600571066319,0.0017215644229925694
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,3,0.9824959579284561,0.002916016036788048,0.7637739931285313,0.020787274662124197,0.18460094864980467,0.0015230633320011389,0.3523024713934576,0.0015705692779191332
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,4,0.9671270635709404,0.003210883279553932,0.6515243256209564,0.016821703839524277,0.14414721995853702,0.0035886670194971654,0.3171386031028224,0.0026361970527103576
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,5,0.9699667294034982,0.007399590498729922,0.7494719994277478,0.018985454765652325,0.17562009972675538,0.0022249877271422447,0.3507951523757568,0.002761442044354944
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,6,0.9681164363975443,0.005811123965303172,0.7722562337513926,0.03738056611741098,0.20619307716751673,0.0025122331304963464,0.37279360223468666,0.0023324725191571295
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,7,0.9660826098136015,0.0064167683940877605,0.7187386395297832,0.030130352092075256,0.227527963855828,0.0011613422682969427,0.4242395976599589,0.003957569384052755
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,8,0.965351810413333,0.007187044310565323,0.7364337383314727,0.029070201205691135,0.24660919403601533,0.0008087646006789594,0.4171953471133939,0.0038121708928577497
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,9,0.9674113551329693,0.006730158513354674,0.7376210082160631,0.009700867953040836,0.26054023380146235,0.0008683863800704256,0.4116610012132395,0.0021236493267335504
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,10,0.9489073629934289,0.012466723666916854,0.7127325444884656,0.03197775285606966,0.27306472834764905,0.001193154640050964,0.4161000433169163,0.0016329660044121744
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,11,0.9588418825548798,0.01388791780249937,0.7105137543321661,0.020512581017235125,0.2694840435876413,0.0013092958673871953,0.4167426598863875,0.0015157424312600325
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,12,0.9464887245140071,0.009022748221868713,0.7715841935705788,0.026513733313322758,0.2619049464107507,0.0017201266083819824,0.4174202898598402,0.0019002045033133263
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,13,0.9635983883139392,0.007216518825510473,0.7409246324491633,0.02864674247456858,0.26216097421502227,0.002216309327444656,0.41005142463959887,0.0025883777343089372
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,14,0.9353566277346012,0.011419608175726063,0.740998357637606,0.03217465400609234,0.25067129884779427,0.0017243823430756545,0.40160390032002036,0.0022701996472526556
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,15,0.9368344544510364,0.014386031864434637,0.7349919587116643,0.029322879062585915,0.26263204702379267,0.001584245507040551,0.4080515901668857,0.0018348187924743453
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,16,0.9373895183021277,0.00819216685427827,0.7570107906142335,0.014920354647979464,0.24944609458853426,0.00200886827758628,0.39455377880420955,0.0018761197701715482
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,17,0.9254047710107483,0.02083012061382768,0.7381467781725931,0.019498384252700816,0.23992204267298228,0.0015569224621539489,0.38632359647246556,0.002814663161399939
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,18,0.9542625249901816,0.008671979430050821,0.7729941932411519,0.02676849330224943,0.26586179691299217,0.000686415588552865,0.4096906572021545,0.0010665302556449475
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,19,0.9316440354193762,0.007627516723488233,0.7408835802921716,0.01158280225497908,0.25044990713521237,0.002234843688334463,0.3903125769478139,0.0024342391910468536
format_size_sweep_kfold,text-embedding-3-large,rounded_3sf,20,,,,,,,,
format_size_sweep_kfold,text-embedding-3-large,written_words,1,0.9999999985222445,1.8193059177209568e-09,0.7400742897299439,0.01558326910135613,0.36615604551399034,0.003306296189108263,0.6701076774956896,0.0014925039437873253
format_size_sweep_kfold,text-embedding-3-large,written_words,2,0.9949000409831819,0.0014518120204916266,0.7249474565477344,0.01342893515936068,0.19274265497100548,0.0017010123803451402,0.42009232578039307,0.002953812808430686
format_size_sweep_kfold,text-embedding-3-large,written_words,3,0.9735550518601034,0.030810094909391177,0.7279961272071975,0.03111414421985539,0.15571559849807728,0.0010893345335427642,0.3434824222235813,0.002555788750036857
format_size_sweep_kfold,text-embedding-3-large,written_words,4,0.9740576796825284,0.0068497068655609785,0.7371463535911355,0.03446826012407345,0.15934856340266598,0.0005637349393746303,0.3481531894727817,0.0016443330345943684
format_size_sweep_kfold,text-embedding-3-large,written_words,5,0.9775964582078464,0.003110773800511733,0.7379411524301391,0.008209245134014087,0.16781669388863957,0.0007491662507511766,0.3492001740551868,0.001296363836993918
format_size_sweep_kfold,text-embedding-3-large,written_words,6,0.967630401587398,0.007621115369857932,0.6811628853254413,0.03667854698088799,0.1482898453483933,0.0007953034314686241,0.3177219144193837,0.001068232714294397
format_size_sweep_kfold,text-embedding-3-large,written_words,7,0.9797075122513922,0.003202057097594012,0.7382364821205895,0.027199714338891026,0.1719690044336902,0.0011249666807719974,0.34439302586104403,0.002580829937266088
format_size_sweep_kfold,text-embedding-3-large,written_words,8,0.9661889925360434,0.011712566646661548,0.7045593676780129,0.03167856853340803,0.17212863405959644,0.00042950369025054083,0.3303039455192829,0.0011889449884731472
format_size_sweep_kfold,text-embedding-3-large,written_words,9,0.9687364940944658,0.004097409597131708,0.6767425962636233,0.012160227312825003,0.15347013052098515,0.0009334627367773447,0.31226954150817543,0.0023270842049319036
format_size_sweep_kfold,text-embedding-3-large,written_words,10,0.9769877703223335,0.005107863084702393,0.6958945842659503,0.025790473300183664,0.18811598370852461,0.0011298955980382545,0.34940976575464483,0.0021081599237080103
format_size_sweep_kfold,text-embedding-3-large,written_words,11,0.9698286495137349,0.006083043473279322,0.6916433709299394,0.026071401725747536,0.15965092785755286,0.00063233447772608,0.30770613249936085,0.0011017446358854998
format_size_sweep_kfold,text-embedding-3-large,written_words,12,0.9686542217563756,0.004724765223832661,0.7059024966351946,0.0272957028460341,0.1559461997998092,0.0009807677136783734,0.30820893699141416,0.0020222345600555873
format_size_sweep_kfold,text-embedding-3-large,written_words,13,0.9785398489319341,0.0022577429863343923,0.7268637580282038,0.02092772867778078,0.19467102824110624,0.0021561881254377594,0.35898033103821264,0.002420427865982297
format_size_sweep_kfold,text-embedding-3-large,written_words,14,0.9767740923449317,0.007719057886794655,0.7033137452054421,0.0297119194571479,0.15923856834380928,0.001053262746598518,0.3132072966930463,0.0017535209263846534
format_size_sweep_kfold,text-embedding-3-large,written_words,15,0.9611792333276578,0.011029048685771333,0.6710479479570376,0.034500937901857674,0.1553402190890924,0.0012504279594183832,0.3150114023007588,0.0026847943104904444
format_size_sweep_kfold,text-embedding-3-large,written_words,16,0.9860576378760761,0.0034491412406216725,0.7340695905963198,0.023666958571370373,0.2298096920256476,0.00032708908376665114,0.4200968110569768,0.0023770034555736716
format_size_sweep_kfold,text-embedding-3-large,written_words,17,0.9666868377685152,0.009036744771701024,0.6774940567129606,0.023449470731949293,0.1859000729775097,0.0007354686418047517,0.3418988568143133,0.0003921607522321242
format_size_sweep_kfold,text-embedding-3-large,written_words,18,0.9678841774722653,0.006486821305705199,0.7114824176279617,0.025598486740529038,0.17775801204437475,0.0008553948399484836,0.335995379431802,0.002412195170919029
format_size_sweep_kfold,text-embedding-3-large,written_words,19,0.9861861273193389,0.0023126697702681854,0.7397142029556535,0.013739323330390284,0.2487921768092761,0.0026263005084161167,0.4125370491522188,0.0016508407282314996
format_size_sweep_kfold,text-embedding-3-large,written_words,20,0.9749272589877519,0.005450963919136424,0.693195191189487,0.022361924818538353,0.18383513869038054,0.001011726316694511,0.3452554941625846,0.002454683062677373
